ID,问题单描述,问题单生成原因,问题单解决方案,提单人,修改人,
202501071610,虚拟机备份任务频繁失败,备份代理（Backup Proxy）所在宿主机磁盘空间溢出。,清理备份代理的临时目录，扩容日志卷。,David/d7766,Sarah/s2022,
202501081005,无法为 Windows Server 2022 开启安全启动,虚拟机的 UEFI 固件版本过低，不支持最新的 Secure Boot。,升级虚拟化引擎底层组件，并将虚拟机硬件版本升至 v15。,Alice/a1234,Mike/m3001,
202501081520,批量删除虚拟机时系统响应极慢,数据库索引缺失，导致批量更新操作变为全表扫描。,在虚拟机信息表的 uuid 和 status 字段增加复合索引。,Linda/l9988,Paul/p1888,
202501090940,挂载 ISO 镜像后虚拟机蓝屏重启,ISO 镜像文件损坏，导致只读文件系统加载异常。,重新上传镜像，并通过 MD5 校验文件完整性。,Kevin/k5544,Alex/a1666,
202501091415,宿主机进入维护模式失败,存在挂载了本地磁盘（Local Disk）的虚拟机无法迁移。,手动关闭本地存储虚拟机，或将其转换为共享存储。,Steve/s5678,Sarah/s2022,
202501101100,VNC 控制台字体显示乱码,管理平台字符集配置由 UTF-8 被误改为 GBK。,还原系统全局字符集配置，重启 Web 服务。,Mike/m3001,Kevin/k5544,
202501101630,CPU 拓扑配置不生效,虚拟机配置文件中绑定的物理核（Pinning）已下线。,重新生成 CPU 亲和性掩码，避开已故障的 CPU 核心。,David/d7766,Linda/l9988,
202501110915,网络拓扑图中链路显示红色告警,OVS（Open vSwitch）流表条目超过上限。,清理无效的流表条目，并调大 OVS 内存限制。,Paul/p1888,Alice/a1234,
202501111350,虚拟机 CPU 持续占用 100%,客户机系统内发生病毒感染，产生大量加密计算。,通知租户查杀病毒，并在网络边界加严防火墙策略。,Sarah/s2022,Steve/s5678,
202501121020,无法绑定浮动 IP（EIP）,分布式网关中的 ARP 响应模块死锁。,重启分布式路由器（DVR）服务，强制刷新 ARP。,Kevin/k5544,Paul/p1888,
202501121545,集群性能统计数据断点,时序数据库（InfluxDB）存储空间达到 90% 阈值。,清理 30 天前的历史监控数据，扩容存储盘。,Mike/m3001,Alex/a1666,
202501130930,虚拟机无法自动通过 DRS 负载均衡,宿主机被打上了“禁止迁移”的逻辑标签（Anti-affinity）。,检查并修改 DRS 策略组，解除冲突的互斥规则。,Linda/l9988,Sarah/s2022,
202501131410,创建虚拟机快照超时,虚拟机磁盘层 IO 压力过大，无法在规定时间内静默文件系统。,在业务低峰期执行快照，或临时关闭应用服务。,David/d7766,Mike/m3001,
202501141125,物理机网卡流量异常剧增,发现网络回环，触发了二层网络广播风暴。,开启交换机 STP（生成树协议），阻断回环链路。,Paul/p1888,Kevin/k5544,
202501141650,无法卸载后端挂载的 NFS 存储池,某个存量进程依然持有 NFS 文件句柄。,使用 lsof 查找进程并 Kill，随后执行强制卸载。,Alice/a1234,Steve/s5678,
202501150910,虚拟机无法开启 3D 加速功能,物理 GPU 驱动未加载，或显存被分配殆尽。,重新安装 NVIDIA GRID 驱动，并配置显存切分模式。,Steve/s5678,Alex/a1666,
202501151340,管理界面搜索虚拟机名称返回 404,Elasticsearch 索引库与数据库信息不同步。,执行管理端脚本手动触发全量索引重建。,Mike/m3001,Linda/l9988,
202501161015,虚拟机镜像制作失败，提示空间不足,镜像工作目录 /var/lib/glance 分区占满。,迁移工作目录至更大容量的数据分区。,Paul/p1888,Sarah/s2022,
202501161555,无法通过 API 删除已冻结的账户,系统中存在外键约束，关联了该账户的审计日志。,优化删除逻辑，改为逻辑删除（软删除）。,Kevin/k5544,Paul/p1888,
202501170945,GPU 驱动安装后宿主机频繁死机,GPU 固件与当前的内核版本存在严重的兼容性 Bug。,回退内核版本至稳定的 LTS 版本。,David/d7766,Alex/a1666,
202501171430,跨网段虚拟机无法互通,核心路由器的静态路由条目缺失。,在核心路由器增加指向对应子网的下一跳网关。,Alice/a1234,Mike/m3001,
202501181050,虚拟机克隆任务一直停留在 0%,镜像存储池到计算节点的存储路径断开。,修复 FC 交换机分区（Zoning）配置。,Linda/l9988,Kevin/k5544,
202501181620,控制台报“非法证书”警告,SSL 证书已于昨日到期，未及时更换。,申请新的 SSL 证书并更新 Nginx 配置。,Paul/p1888,Sarah/s2022,
202501190910,虚拟机热添加磁盘失败,该操作系统不支持不重启的情况下扫描新硬件。,在虚拟机内部手动执行磁盘总线扫描命令。,Steve/s5678,Mike/m3001,
202501191345,存储池扩容后容量没变,后端存储虽然扩容，但逻辑卷组（VG）未刷新。,执行 pvresize 命令同步后端物理卷大小。,Mike/m3001,Alex/a1666,
202501201115,系统无法自动回收已删除的磁盘,后端存储的 Trim 指令未下发成功。,手动触发底层存储的垃圾回收（GC）机制。,Kevin/k5544,Paul/p1888,
202501210930,虚拟机无法识别 VirtIO 驱动,镜像中缺失了对应的驱动包，导致无法加载磁盘。,挂载 VirtIO 驱动光盘，手动安装驱动后保存。,Sarah/s2022,Alice/a1234,
202501211445,创建负载均衡器提示“资源不足”,负载均衡集群内部的 VIP 地址池已用完。,扩大子网掩码，增加可用的 VIP 地址范围。,David/d7766,Steve/s5678,
202501221005,管理平台点击“开机”无反应,Message Queue (RabbitMQ) 消息堆积过多。,重启消息队列服务，清理死信队列。,Linda/l9988,Kevin/k5544,
202501221530,虚拟机 CPU 频率远低于物理频率,物理机 BIOS 开启了省电模式（Power Saving）。,修改 BIOS 配置为“高性能”模式（Performance）。,Paul/p1888,Mike/m3001,
202501230910,容器引擎（K8s）无法调度到该节点,节点被误打上了不可调度的污点（Taint）。,移除节点多余的污点标签。,Alex/a1666,Sarah/s2022,
202501231355,虚拟机磁盘读写延迟飙升至 500ms,存储链路中的光模块发生老化，产生大量误码。,更换损坏的光模块和多模光纤。,Mike/m3001,Kevin/k5544,
202501241120,无法通过 Web 控制台上传大文件,Nginx 默认限制了上传文件大小为 1MB。,修改 client_max_body_size 为 2G。,Kevin/k5544,Paul/p1888,
202501241645,集群各节点时钟偏差较大,各节点之间的 Chrony 同步策略不一致。,统一下发 Chrony 配置文件，重启同步服务。,David/d7766,Alice/a1234,
202501251010,虚拟机频繁发生自动重启,物理 CPU 存在硬件缺陷（C-State 问题）。,在内核参数中添加 intel_idle.max_cstate=1。,Steve/s5678,Mike/m3001,
202501251525,无法创建大于 2TB 的虚拟磁盘,存储后端使用的是较旧的 MBR 分区表。,将存储池升级为 GPT 分区模式。,Paul/p1888,Linda/l9988,
202501260930,虚拟机无法感知 vGPU 资源,宿主机安装了不同版本的物理显卡驱动。,统一宿主机显卡驱动版本，并重新映射 vGPU Profile。,Alex/a1666,Paul/p1888,
202501261415,系统审计日志查询极其缓慢,审计表数据量突破千万，且缺少时间戳索引。,对审计表进行分表处理，并在 create_time 字段建索引。,Sarah/s2022,Mike/m3001,
202501271110,宿主机异常掉线，触发 HA 失败,HA 监控网络与业务网络共用，发生拥塞导致误判。,将 HA 心跳网络拆分到独立物理网口。,Kevin/k5544,Linda/l9988,
202501271640,虚拟机网卡无法修改为万兆模式,虚拟机硬件版本过旧，不支持 VMXNET3 类型。,升级虚拟机硬件版本，重新挂载并安装增强工具包。,Paul/p1888,Alex/a1666,
202501281020,无法通过 SFTP 备份管理平台配置,备份目标服务器的磁盘已满，无法写入数据。,清理备份服务器旧数据，配置滚动删除策略。,Mike/m3001,Sarah/s2022,
202501290915,虚拟机 CPU 绑定（Pinning）失效,宿主机 NUMA 节点配置发生变动。,重新配置 CPU 亲和性，确保跨 NUMA 访问最小化。,David/d7766,Paul/p1888,
202501291340,无法为已关机的虚拟机热添加内存,系统逻辑限制，仅支持在运行状态下动态调配。,先将虚拟机开机后再进行内存热添加操作。,Alice/a1234,Steve/s5678,
202501301155,控制台显示虚拟机 IP 地址为空,虚拟机内部 Guest Agent 进程僵死。,在虚拟机内部重启管理代理进程。,Linda/l9988,Kevin/k5544,
202501311010,存储池可用容量显示不一致,异步同步任务延迟导致管理面数据未即时刷新。,手动触发存储元数据同步脚本。,Paul/p1888,Mike/m3001,
202501311530,用户创建虚拟机提示权限不足,LDAP 用户组同步出现断裂，权限信息丢失。,修复 LDAP 连接池，强制重新拉取用户权限映射。,Sarah/s2022,Alex/a1666,
202502010905,无法通过控制台发送 Ctrl+Alt+Del,浏览器键盘映射冲突或 VNC 插件版本过低。,升级 Web 控制台组件，开启侧边栏虚拟键盘。,Mike/m3001,Linda/l9988,
202502011425,虚拟机磁盘读写出现 IO_ERROR,存储多路径（Multipath）中的一条链路完全中断。,更换故障的 HBA 卡光纤模块。,Kevin/k5544,Steve/s5678,
202502021130,系统无法自动迁移过载的虚拟机,DRS 调度算法阈值设置过高。,将 DRS 灵敏度从“保守”调整为“激进”。,Paul/p1888,Alex/a1666,
202502021610,执行备份还原后，虚拟机无法引导,还原过程中目标磁盘的 UUID 发生了改变。,修改虚拟机配置文件，更新正确的磁盘 UUID。,David/d7766,Sarah/s2022,
202502031005,宿主机 CPU 温度过高告警,机房空调制冷不足，导致物理服务器风扇满载。,调整机房温控系统，清理服务器防尘网。,Alice/a1234,Mike/m3001,
202502031520,虚拟机频繁发生“冻结”现象,宿主机开启了透明大页（THP）导致内存碎片。,在宿主机内核参数中禁用透明大页。,Linda/l9988,Paul/p1888,
202502040940,无法挂载分布式存储卷,客户端驱动版本与后端存储集群不匹配。,升级存储客户端驱动至推荐版本。,Kevin/k5544,Alex/a1666,
202502041415,批量开机导致管理平台假死,消息队列单次处理的任务数量超过 buffer 上限。,开启开机任务排队机制，限制并发开机数。,Steve/s5678,Sarah/s2022,
202502051100,系统导出的 PDF 报表内容缺失,报表生成模块缺少对应的中文字体库。,在管理节点安装常用中文字体包。,Mike/m3001,Kevin/k5544,
202502051630,虚拟机 CPU 类型显示为“未知”,物理 CPU 过于超前，虚拟化内核未包含其特征码。,升级宿主机 Hypervisor 内核及微码更新。,David/d7766,Linda/l9988,
202502060915,控制台操作出现高延迟,网关服务器 CPU 负载过高，转发加密流过慢。,为网关服务器扩容 CPU 资源，开启硬件加速。,Paul/p1888,Alice/a1234,
202502061350,虚拟机无法加入域控集群,网络 MTU 设置不一致导致大包被丢弃。,统一全网 MTU 值为 1500 或配置 Jumbo Frame。,Sarah/s2022,Steve/s5678,
202502071020,无法在当前节点开启嵌套虚拟化,BIOS 中未开启 VT-x 或 AMD-V 功能。,重启进入物理机 BIOS，启用虚拟化技术选项。,Kevin/k5544,Paul/p1888,
202502071545,平台显示存储利用率为 100%，实际有空余,瘦分配（Thin Provisioning）超卖严重。,迁移部分虚拟机至其他存储池，平衡利用率。,Mike/m3001,Alex/a1666,
202502080930,虚拟机热迁移后网络中断,目标节点上缺少该虚拟机所在的 VLAN 定义。,在所有集群节点同步 vSwitch 的网络定义。,Linda/l9988,Sarah/s2022,
202502081410,无法对加密后的虚拟机进行克隆,管理平台未获得解密该磁盘的秘钥权限。,在秘钥管理中心（KMS）下发对应虚拟机的授权。,David/d7766,Mike/m3001,
202502091125,物理机网卡流量显示负数,监控插件数值溢出（32位计数器限制）。,切换监控插件为 64 位计数器。,Paul/p1888,Kevin/k5544,
202502091650,无法删除存储快照,快照链路过长，底层文件系统锁定失败。,先进行快照整合，减少链路层级后再删除。,Alice/a1234,Steve/s5678,
202502100910,虚拟机无法加载 ISO 文件,镜像服务器（Image Service）后端挂载失效。,重新挂载后端镜像仓库存储分区。,Steve/s5678,Alex/a1666,
202502101340,虚拟机无法启动：找不到引导设备,引导顺序被用户误改为“从网络启动”。,在虚拟机 BIOS 设置中将硬盘设为第一启动项。,Mike/m3001,Linda/l9988,
202502111015,CPU 核心数配置超过物理限制,开启了不合理的超分比例限制，逻辑冲突。,修正虚拟机规格定义，限制单机 CPU 核心数。,Paul/p1888,Sarah/s2022,
202502111555,虚拟机磁盘扩容按钮变灰,虚拟机存在活动快照，不支持在线扩容。,先删除所有快照，或关机后执行扩容。,Kevin/k5544,Paul/p1888,
202502120945,无法通过管理台连接串口终端,后端终端转接进程（Serial Console）被占用。,杀掉多余的交互进程，释放串口占用。,David/d7766,Alex/a1666,
202502121430,网络防火墙规则未生效,规则下发到 OVS 过程中由于语法错误被丢弃。,修复防火墙下发逻辑，增加语法校验环节。,Alice/a1234,Mike/m3001,
202502131050,虚拟机在运行中突然自动关机,系统触发了宿主机的内存 OOM Killer。,调整宿主机 OOM 优先级，保护核心虚拟机进程。,Linda/l9988,Kevin/k5544,
202502131620,无法执行跨数据中心迁移,两个数据中心之间的网络延迟超过 10ms 限制。,优化专线链路，或改用离线迁移模式。,Paul/p1888,Sarah/s2022,
202502140910,虚拟机无法检测到物理直通网卡,宿主机没有开启 IOMMU 支持。,在引导参数中添加 intel_iommu=on。,Steve/s5678,Mike/m3001,
202502141345,存储阵列扩容后，容量没有同步,存储管理器（Storage Manager）心跳同步断开。,重启存储管理代理，手动上报最新容量。,Mike/m3001,Alex/a1666,
202502151115,虚拟机 CPU 运行频率不稳定,宿主机物理 CPU 进入了热保护降频状态。,检查物理服务器散热系统，降低机房负荷。,Kevin/k5544,Paul/p1888,
202502160930,虚拟机内存压力大，发生频繁交换,虚拟机未配置内存预留（Reservation）。,设置内存预留，确保关键业务不使用 Swap。,Sarah/s2022,Alice/a1234,
202502161445,创建负载均衡器任务卡死,负载均衡底层的虚拟设备（Appliance）启动超时。,重建负载均衡资源池，更换健康的底座节点。,David/d7766,Steve/s5678,
202502171005,无法同步租户配额信息,数据库死锁导致配额计算任务异常中断。,优化事务隔离级别，减少长事务对配额表的锁定。,Linda/l9988,Kevin/k5544,
202502171530,宿主机管理口被 DDoS 攻击,管理平面网络暴露在公网，遭受大量非法请求。,隔离管理网络至独立带外网络，并加装防火墙。,Paul/p1888,Mike/m3001,
202502180910,虚拟机无法开启超线程支持,宿主机 BIOS 禁用了 SMT（同步多线程）。,在宿主机 BIOS 中开启 Hyper-Threading。,Alex/a1666,Sarah/s2022,
202502181355,无法通过 API 获取实时流量数据,API Gateway 接口频率限制触发。,调整 API 调用频率限制，开启白名单模式。,Mike/m3001,Kevin/k5544,
202502191120,虚拟机镜像上传断点续传失败,上传组件的临时分片清理逻辑有 Bug。,修复分片逻辑，增加上传校验 MD5 的机制。,Kevin/k5544,Paul/p1888,
202502191645,集群各节点 CPU 类型不匹配,混插了不同型号的 CPU，导致迁移受阻。,开启 EVC 基准模式，统一指令集可见性。,David/d7766,Alice/a1234,
202502201010,虚拟机 CPU 软锁（Soft Lockup）,宿主机物理核超分过度，上下文切换开销巨大。,降低宿主机超分比，将虚拟机迁移至空闲节点。,Steve/s5678,Mike/m3001,
202502201525,无法添加大于 16TB 的虚拟磁盘,底层文件系统使用了不支持大文件的 ext3。,将后端文件系统格式化为 XFS 或 ext4。,Paul/p1888,Linda/l9988,
202502210900,虚拟机热添加网卡失败,该 OS 的内核限制了单机 PCI 设备最大数量。,移除不必要的虚拟设备，释放 PCI 插槽空间。,Alex/a1666,Paul/p1888,
TICKET-9102,text-embeddings-router 启动失败 failed to build prometheus recorder,failed to create HTTP listener Address already in use 端口 9102 被占用,释放 9102 端口或改 prometheus 端口为 9103 示例 lsof -i :9102 然后 kill 或修改 --prometheus-port,Alice,Bob
TICKET-9100,text-embeddings-router 启动失败 failed to build prometheus recorder,failed to create HTTP listener Address already in use 端口 9100 被占用,释放 9100 端口或修改 prometheus 端口参数,Kate,Kate
TICKET-9091,text-embeddings-router 启动失败 failed to build prometheus recorder,failed to create HTTP listener Address already in use 端口 9091 被占用,释放 9091 端口或修改 prometheus 端口参数,Tom,Tom
TICKET-9090,text-embeddings-router 启动失败 failed to build prometheus recorder,failed to create HTTP listener Address already in use 端口 9090 被占用,释放 9090 端口或修改 prometheus 端口参数,Jerry,Jerry
TICKET-9000,text-embeddings-router 启动失败 failed to build prometheus recorder,failed to create HTTP listener Address already in use 端口 9000 被占用,释放 9000 端口或修改 prometheus 端口参数,Mike,Mike
TICKET-8080,http server 启动失败 Address already in use,HTTP listener 端口 8080 被占用,释放 8080 端口或改服务端口为 8081,Ann,Ann
TICKET-8081,http server 启动失败 Address already in use,HTTP listener 端口 8081 被占用,释放 8081 端口或改服务端口为 8082,Ken,Ken
TICKET-19530,milvus 启动失败 Address already in use,Milvus 端口 19530 被占用,释放 19530 端口或修改 Milvus 端口配置,Leo,Leo
TICKET-18080,embedding service 启动失败 Address already in use,FastAPI 端口 18080 被占用,释放 18080 端口或修改 uvicorn 端口参数,Nina,Nina
TICKET-6379,redis 启动失败 Address already in use,Redis 端口 6379 被占用,释放 6379 端口或修改 redis 端口配置,Sam,Sam
TICKET-3306,mysql 启动失败 Address already in use,MySQL 端口 3306 被占用,释放 3306 端口或修改 mysql 端口配置,Zoey,Zoey
TICKET-5432,postgres 启动失败 Address already in use,Postgres 端口 5432 被占用,释放 5432 端口或修改 postgres 端口配置,Eric,Eric

